;Alteração de nomenclatura;;;;;;;;;;;;;;;;;;;;;;;
;Variável nova;;;;;;;;;;;;;;;;;;;;;;;
;Descontinuidade;;;;;;;;;;;;;;;;;;;;;;;
50;QT_LIVRO_ELETRONICO;Quantidade de títulos de livros eletrônicos disponibilizados pelas bibliotecas convertidos ao formato digital ou originalmente produzidos nesse formato para serem lidos em computador ou outros dispositivos;Num;8;;;-;-;-;-;-;-;s;s;s;s;s;s;* Valor nulo para os anos de 2009 a 2014;;;;;
DADOS DE DOCENTES DA IES;;;;;;;;;;;;;;;;;;;;;;;;
51;QT_DOC_TOTAL;Quantidade total de docentes (em exercício e afastados);Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
52;QT_DOC_EXE;Quantidade total de docentes em exercício;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
53;QT_DOC_EX_FEMI;Quantidade de docentes em exercício do sexo feminino;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
54;QT_DOC_EX_MASC;Quantidade de docentes em exercício do sexo masculino;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
55;QT_DOC_EX_SEM_GRAD;Quantidade de docentes em exercício sem curso de graduação;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
56;QT_DOC_EX_GRAD;Quantidade de docentes em exercício com curso de graduação;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
57;QT_DOC_EX_ESP;Quantidade de docentes em exercício com especialização;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
58;QT_DOC_EX_MEST;Quantidade de docentes em exercício com mestrado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
59;QT_DOC_EX_DOUT;Quantidade de docentes em exercício com doutorado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
60;QT_DOC_EX_INT;Quantidade de docentes em exercício em tempo integral;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
61;QT_DOC_EX_INT_DE;Quantidade de docentes em exercício em tempo integral com dedicação exclusiva;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
62;QT_DOC_EX_INT_SEM_DE;Quantidade de docentes em exercício em tempo integral sem dedicação exclusiva;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
63;QT_DOC_EX_PARC;Quantidade de docentes em exercício em tempo parcial;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
64;QT_DOC_EX_HOR;Quantidade de docentes em exercício horista;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
65;QT_DOC_EX_0_29;Quantidade de docentes em exercício - até 29 anos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
66;QT_DOC_EX_30_34;Quantidade de docentes em exercício - de 30 a 34 anos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
67;QT_DOC_EX_35_39;Quantidade de docentes em exercício - de 35 a 39 anos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
68;QT_DOC_EX_40_44;Quantidade de docentes em exercício - de 40 a 44 anos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
69;QT_DOC_EX_45_49;Quantidade de docentes em exercício - de 45 a 49 anos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
70;QT_DOC_EX_50_54;Quantidade de docentes em exercício - de 50 a 54 anos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
71;QT_DOC_EX_55_59;Quantidade de docentes em exercício - de 55 a 59 anos;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
72;QT_DOC_EX_60_MAIS;Quantidade de docentes em exercício - de 60 anos ou mais;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
73;QT_DOC_EX_BRANCA;Quantidade de docentes em exercício - Cor/Raça branca;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
74;QT_DOC_EX_PRETA;Quantidade de docentes em exercício - Cor/Raça preta;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
75;QT_DOC_EX_PARDA;Quantidade de docentes em exercício - Cor/Raça parda;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
76;QT_DOC_EX_AMARELA;Quantidade de docentes em exercício - Cor/Raça amarela;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
77;QT_DOC_EX_INDIGENA;Quantidade de docentes em exercício - Cor/Raça indígena;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
78;QT_DOC_EX_COR_ND;Quantidade de docentes em exercício - Cor/Raça não dispõe da informação ou não declarada;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
79;QT_DOC_EX_BRA;Quantidade de docentes em exercício - nacionalidade brasileira ou brasileira - nascido no exterior ou naturalizado;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
80;QT_DOC_EX_EST;Quantidade de docentes em exercício - nacionalidade estrangeira;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
81;QT_DOC_EX_COM_DEFICIENCIA;Quantidade de docentes em exercício - com deficiência;Num;8;;;s;s;s;s;s;s;s;s;s;s;s;s;;;;;;
